nome,estado,regiao,partido,posicao,gastos.total,presencas.total
Abelardo Luiz Lupion Mello,PR,Sul,DEM,Oposicao,143042.84,169
Luiz Hiloshi Nishimori,PR,Sul,PSDB,Oposicao,119946.1,184
Luiz Noé De Souza Soares,RS,Sul,PSB,Governo,116944.91,168
Luiza Erundina De Sousa,SP,Sudeste,PSB,Governo,83499.25,200
Carlos Humberto Mannato,ES,Sudeste,PDT,Governo,125114.48,202
Luiz Henrique Mandetta,MS,Centro-oeste,DEM,Oposicao,100984.57,171
Manoel Alves Da Silva Junior,PB,Nordeste,PMDB,Governo,176436.53,171
Manoel Salviano Sobrinho,CE,Nordeste,PSD,Independente,175077.42,147
Manuela Pinto Vieira Dávila,RS,Sul,PC do B,Governo,141543.28,153
Aníbal Ferreira Gomes,CE,Nordeste,PMDB,Governo,132349.11,153
Mara Cristina Gabrilli,SP,Sudeste,PSDB,Oposicao,86614.4,161
