nome,estado,regiao,partido,posicao,gastos.total,presencas.total
José Geraldo Torres Da Silva,PA,Norte,PT,Governo,122583.13,178
José Silva Soares,MG,Sudeste,PDT,Governo,78407.28,164
José Arnon Cruz Bezerra De Menezes,CE,Nordeste,PTB,Governo,163322.74,165
Ademir Camilo Prates Rodrigues,MG,Sudeste,PSD,Independente,122307.29,183
José Vieira Lins,MA,Nordeste,PR,Independente,154070.83,122
José Carlos Becker De Oliveira E Silva,PR,Sul,PT,Governo,82196.88,191
José Da Cruz Marinho,PA,Norte,PSC,Governo,152263.45,159
Jorge De Oliveira,RJ,Sudeste,PR,Independente,54174.25,197
Arolde De Oliveira,RJ,Sudeste,PSD,Independente,71617.48,174
Arthur César Pereira De Lira,AL,Nordeste,PP,Governo,36892.99,194
Arthur De Oliveira Maia Da Silva,BA,Nordeste,PMDB,Governo,110905.24,154
Artur José Vieira Bruno,CE,Nordeste,PT,Governo,120268.01,161
Francisco De Assis Carvalho Gonçalves,PI,Nordeste,PT,Governo,122855.61,173
Assis Miguel Do Couto,PR,Sul,PT,Governo,150651.4,181
Assis Flávio Da Silva Melo,RS,Sul,PC do B,Governo,140680.36,171
Átila Sidney Lins Albuquerque,AM,Norte,PSD,Independente,152332.52,174
Audifax Charles Pimentel Barcelos,ES,Sudeste,PSB,Governo,67265.74,188
Adrian Mussi Ramos,RJ,Sudeste,PMDB,Governo,82318.28,173
Augusto Silveira De Carvalho,DF,Centro-oeste,PPS,Oposicao,100694.97,183
Augusto Rodrigues Coutinho De Melo,PE,Nordeste,DEM,Oposicao,89456.92,179
Aureo Lidio Moreira Ribeiro,RJ,Sudeste,PRTB,Governo,62779.85,174
Benedita Souza Da Silva Sampaio,RJ,Sudeste,PT,Governo,48886.7,176
Benjamin Gomes Maranhão Neto,PB,Nordeste,PMDB,Governo,95422.6,177
Herbson Jairo Ribeiro Bantim,RR,Norte,PSDB,Oposicao,85197.36,134
Bernardo De Vasconcellos Moreira,MG,Sudeste,PR,Independente,118208.54,149
José Roberto Oliveira Faro,PA,Norte,PT,Governo,89237.4,157
Paulo Roberto Gomes Mansur,SP,Sudeste,PP,Governo,137686.85,161
Antonio Carlos Biffi,MS,Centro-oeste,PT,Governo,122169.41,168
Aelton José De Freitas,MG,Sudeste,PR,Independente,134240.38,169
Elvino José Bohn Gass,RS,Sul,PT,Governo,87421.27,164
Bonifácio José Tamm De Andrada,MG,Sudeste,PSDB,Oposicao,27633.34,164
